create file1
use file1
afu todd
insert name= aaccf ; CWID= 10000000 ; color= black ; age= 37 ; salary= 104883.3149 ;
insert name= abdelran ; CWID= 10000038 ; color= purple ; age= 72 ; salary= 81764.66245 ;
insert name= abdelsal ; CWID= 10000039 ; color= crimson ; age= 33 ; salary= 28310.7443 ;
insert name= abderrao ; CWID= 10000040 ; color= black ; age= 49 ; salary= 40643.49254 ;
insert name= abderraz ; CWID= 10000041 ; color= white ; age= 57 ; salary= 27654.01764 ;
insert name= abdi ; CWID= 10000042 ; color= red ; age= 64 ; salary= 62725.3979 ;
insert name= abdo ; CWID= 10000043 ; color= green ; age= 40 ; salary= 43930.05592 ;
insert name= abdollah ; CWID= 10000044 ; color= blue ; age= 39 ; salary= 64801.84943 ;
insert name= abdolrah ; CWID= 10000045 ; color= orange ; age= 41 ; salary= 58345.75194 ;
insert name= abdou ; CWID= 10000046 ; color= yellow ; age= 37 ; salary= 75022.44464 ;
insert name= abdrani ; CWID= 10000047 ; color= pink ; age= 40 ; salary= 49076.41517 ;
insert name= abdul ; CWID= 10000048 ; color= purple ; age= 57 ; salary= 81975.48977 ;
insert name= abdul-az ; CWID= 10000049 ; color= crimson ; age= 21 ; salary= 15550.71332 ;
insert name= abdul-ma ; CWID= 10000050 ; color= black ; age= 27 ; salary= 27615.96464 ;
insert name= abdul-no ; CWID= 10000051 ; color= white ; age= 63 ; salary= 24288.06567 ;
insert name= abdul-ra ; CWID= 10000052 ; color= red ; age= 50 ; salary= 25560.14611 ;
insert name= abdul-sa ; CWID= 10000053 ; color= green ; age= 30 ; salary= 19474.17173 ;
insert name= abdulazi ; CWID= 10000054 ; color= blue ; age= 1 ; salary= 97330.84188 ;
insert name= abdulla ; CWID= 10000055 ; color= orange ; age= 94 ; salary= 57510.49054 ;
insert name= abdullah ; CWID= 10000056 ; color= yellow ; age= 11 ; salary= 70752.70725 ;
insert name= abdulmad ; CWID= 10000057 ; color= pink ; age= 62 ; salary= 99869.44048 ;
insert name= abdulrah ; CWID= 10000058 ; color= purple ; age= 85 ; salary= 12346.11855 ;
insert name= abdulran ; CWID= 10000059 ; color= crimson ; age= 85 ; salary= 29428.57247 ;
insert name= abdulsal ; CWID= 10000060 ; color= black ; age= 19 ; salary= 48430.88847 ;
insert name= abdur ; CWID= 10000061 ; color= white ; age= 72 ; salary= 77027.79998 ;
insert name= abe ; CWID= 10000062 ; color= red ; age= 78 ; salary= 101110.011 ;
insert name= abedi ; CWID= 10000063 ; color= green ; age= 88 ; salary= 71218.66628 ;
insert name= abel ; CWID= 10000064 ; color= blue ; age= 35 ; salary= 17949.79583 ;
insert name= abelard ; CWID= 10000065 ; color= orange ; age= 36 ; salary= 57697.7553 ;
insert name= abell ; CWID= 10000066 ; color= yellow ; age= 43 ; salary= 26510.05236 ;
insert name= abella ; CWID= 10000067 ; color= pink ; age= 18 ; salary= 109634.2265 ;
insert name= abellera ; CWID= 10000068 ; color= purple ; age= 78 ; salary= 56993.62818 ;
insert name= abello ; CWID= 10000069 ; color= crimson ; age= 62 ; salary= 38734.03666 ;
insert name= abelow ; CWID= 10000070 ; color= black ; age= 34 ; salary= 56279.29195 ;
insert name= abernath ; CWID= 10000071 ; color= white ; age= 89 ; salary= 93794.30715 ;
insert name= aberneth ; CWID= 10000072 ; color= red ; age= 4 ; salary= 92518.99377 ;
insert name= abeu ; CWID= 10000073 ; color= green ; age= 68 ; salary= 55627.63081 ;
insert name= abey ; CWID= 10000074 ; color= blue ; age= 5 ; salary= 105916.8638 ;
insert name= abhay ; CWID= 10000075 ; color= orange ; age= 97 ; salary= 66070.73319 ;
insert name= abhijit ; CWID= 10000076 ; color= yellow ; age= 70 ; salary= 71418.84215 ;
insert name= abi-aad ; CWID= 10000077 ; color= pink ; age= 84 ; salary= 18971.98318 ;
insert name= abid ; CWID= 10000078 ; color= purple ; age= 67 ; salary= 91350.40001 ;
insert name= abie ; CWID= 10000079 ; color= crimson ; age= 47 ; salary= 74185.72096 ;
insert name= abigael ; CWID= 10000080 ; color= black ; age= 79 ; salary= 45383.06339 ;
insert name= abigail ; CWID= 10000081 ; color= white ; age= 30 ; salary= 81640.78106 ;
insert name= abigale ; CWID= 10000082 ; color= red ; age= 82 ; salary= 17565.54277 ;
insert name= abike ; CWID= 10000083 ; color= green ; age= 34 ; salary= 15567.28448 ;
insert name= abner ; CWID= 10000084 ; color= blue ; age= 30 ; salary= 92629.10804 ;
insert name= abou-arr ; CWID= 10000085 ; color= orange ; age= 22 ; salary= 10190.29007 ;
insert name= abou-ezz ; CWID= 10000086 ; color= yellow ; age= 59 ; salary= 27703.86633 ;
insert name= aboul-ma ; CWID= 10000087 ; color= pink ; age= 60 ; salary= 106767.1306 ;
insert name= aboussou ; CWID= 10000088 ; color= purple ; age= 45 ; salary= 109059.4694 ;
insert name= abovyan ; CWID= 10000089 ; color= crimson ; age= 18 ; salary= 56411.11924 ;
insert name= abra ; CWID= 10000090 ; color= black ; age= 68 ; salary= 44345.07425 ;
insert name= abraham ; CWID= 10000091 ; color= white ; age= 21 ; salary= 90778.65844 ;
insert name= abrahan ; CWID= 10000092 ; color= red ; age= 47 ; salary= 38355.61765 ;
insert name= abrahim ; CWID= 10000093 ; color= green ; age= 52 ; salary= 68689.51887 ;
insert name= abram ; CWID= 10000094 ; color= blue ; age= 90 ; salary= 16448.71765 ;
insert name= abramo ; CWID= 10000095 ; color= orange ; age= 27 ; salary= 67763.94025 ;
insert name= abrams ; CWID= 10000096 ; color= yellow ; age= 18 ; salary= 20992.95303 ;
insert name= abran ; CWID= 10000097 ; color= pink ; age= 10 ; salary= 86606.02204 ;
insert name= abrar ; CWID= 10000098 ; color= purple ; age= 58 ; salary= 104570.8008 ;
insert name= absi ; CWID= 10000099 ; color= crimson ; age= 70 ; salary= 32266.00341 ;
insert name= abu ; CWID= 10000100 ; color= black ; age= 74 ; salary= 76064.88103 ;
insert name= abul ; CWID= 10000101 ; color= white ; age= 76 ; salary= 103162.0752 ;
insert name= access ; CWID= 10000102 ; color= red ; age= 25 ; salary= 84386.41449 ;
insert name= accounti ; CWID= 10000103 ; color= green ; age= 77 ; salary= 19047.04418 ;
insert name= acelvari ; CWID= 10000104 ; color= blue ; age= 46 ; salary= 63404.01427 ;
insert name= achal ; CWID= 10000105 ; color= orange ; age= 45 ; salary= 30277.19793 ;
insert name= achamma ; CWID= 10000106 ; color= yellow ; age= 72 ; salary= 83147.41837 ;
insert name= acharyya ; CWID= 10000107 ; color= pink ; age= 11 ; salary= 93943.41599 ;
insert name= achcar ; CWID= 10000108 ; color= purple ; age= 26 ; salary= 66499.98389 ;
insert name= achille ; CWID= 10000109 ; color= crimson ; age= 11 ; salary= 107485.8643 ;
insert name= achkar ; CWID= 10000110 ; color= black ; age= 35 ; salary= 10293.07996 ;
insert name= achmad ; CWID= 10000111 ; color= white ; age= 35 ; salary= 104399.4079 ;
insert name= ackaouy ; CWID= 10000112 ; color= red ; age= 16 ; salary= 15332.4959 ;
insert name= acker ; CWID= 10000113 ; color= green ; age= 54 ; salary= 67062.98411 ;
insert name= acklin ; CWID= 10000114 ; color= blue ; age= 94 ; salary= 67495.89568 ;
insert name= ackwood ; CWID= 10000115 ; color= orange ; age= 25 ; salary= 43511.35328 ;
insert name= acree ; CWID= 10000116 ; color= yellow ; age= 83 ; salary= 52574.89998 ;
insert name= acres ; CWID= 10000117 ; color= pink ; age= 87 ; salary= 73688.11153 ;
insert name= acs ; CWID= 10000118 ; color= purple ; age= 61 ; salary= 21827.9186 ;
insert name= action ; CWID= 10000119 ; color= crimson ; age= 96 ; salary= 49455.60105 ;
insert name= actionte ; CWID= 10000120 ; color= black ; age= 86 ; salary= 67768.25663 ;
insert name= acton ; CWID= 10000121 ; color= white ; age= 9 ; salary= 60438.84105 ;
insert name= aczel ; CWID= 10000122 ; color= red ; age= 82 ; salary= 76332.5275 ;
insert name= ad ; CWID= 10000123 ; color= green ; age= 10 ; salary= 86201.29036 ;
insert name= ada ; CWID= 10000124 ; color= blue ; age= 65 ; salary= 95562.46834 ;
insert name= adah ; CWID= 10000125 ; color= orange ; age= 58 ; salary= 72620.23316 ;
insert name= adahm ; CWID= 10000126 ; color= yellow ; age= 49 ; salary= 92175.61204 ;
insert name= adair ; CWID= 10000127 ; color= pink ; age= 22 ; salary= 99331.31783 ;
insert name= adal ; CWID= 10000128 ; color= purple ; age= 56 ; salary= 29848.88881 ;
insert name= adaline ; CWID= 10000129 ; color= crimson ; age= 78 ; salary= 96557.12527 ;
insert name= adam ; CWID= 10000130 ; color= black ; age= 23 ; salary= 94832.63529 ;
insert name= adamczyk ; CWID= 10000131 ; color= white ; age= 32 ; salary= 17212.13618 ;
insert name= adamkows ; CWID= 10000132 ; color= red ; age= 50 ; salary= 22884.12942 ;
insert name= adamo ; CWID= 10000133 ; color= green ; age= 15 ; salary= 84891.65433 ;
insert name= adamowic ; CWID= 10000134 ; color= blue ; age= 1 ; salary= 98194.29954 ;
insert name= adams ; CWID= 10000135 ; color= orange ; age= 35 ; salary= 50392.26543 ;
insert name= adamski ; CWID= 10000136 ; color= yellow ; age= 1 ; salary= 97200.37609 ;
insert name= adamson ; CWID= 10000137 ; color= pink ; age= 7 ; salary= 92798.47599 ;
insert name= adamyk ; CWID= 10000138 ; color= purple ; age= 55 ; salary= 71056.8499 ;
insert name= adan ; CWID= 10000139 ; color= crimson ; age= 47 ; salary= 45469.83474 ;
insert name= adara ; CWID= 10000140 ; color= black ; age= 74 ; salary= 32888.35133 ;
insert name= adcock ; CWID= 10000141 ; color= white ; age= 7 ; salary= 35169.95115 ;
insert name= adcox ; CWID= 10000142 ; color= red ; age= 0 ; salary= 103388.6064 ;
insert name= adda ; CWID= 10000143 ; color= green ; age= 80 ; salary= 95787.14948 ;
insert name= addetia ; CWID= 10000144 ; color= blue ; age= 22 ; salary= 66389.43857 ;
insert name= addi ; CWID= 10000145 ; color= orange ; age= 22 ; salary= 79277.05026 ;
insert name= addia ; CWID= 10000146 ; color= yellow ; age= 50 ; salary= 34224.17761 ;
insert name= addie ; CWID= 10000147 ; color= pink ; age= 66 ; salary= 65881.45374 ;
insert name= addison ; CWID= 10000148 ; color= purple ; age= 69 ; salary= 19409.02768 ;
insert name= addona ; CWID= 10000149 ; color= crimson ; age= 89 ; salary= 13048.11619 ;
insert name= addons ; CWID= 10000150 ; color= black ; age= 83 ; salary= 29869.14716 ;
insert name= addy ; CWID= 10000151 ; color= white ; age= 98 ; salary= 76064.94027 ;
insert name= ade ; CWID= 10000152 ; color= red ; age= 4 ; salary= 23806.51867 ;
insert name= adebayo ; CWID= 10000153 ; color= green ; age= 99 ; salary= 103441.2738 ;
insert name= adel ; CWID= 10000154 ; color= blue ; age= 83 ; salary= 21362.51423 ;
insert name= adela ; CWID= 10000155 ; color= orange ; age= 26 ; salary= 20142.58678 ;
insert name= adelaida ; CWID= 10000156 ; color= yellow ; age= 87 ; salary= 54128.52422 ;
insert name= adelaide ; CWID= 10000157 ; color= pink ; age= 21 ; salary= 49451.41041 ;
insert name= adelbert ; CWID= 10000158 ; color= purple ; age= 70 ; salary= 83620.3921 ;
insert name= adele ; CWID= 10000159 ; color= crimson ; age= 81 ; salary= 104568.9747 ;
insert name= adelheid ; CWID= 10000160 ; color= black ; age= 90 ; salary= 63170.78604 ;
insert name= adelia ; CWID= 10000161 ; color= white ; age= 46 ; salary= 22021.40161 ;
insert name= adelice ; CWID= 10000162 ; color= red ; age= 74 ; salary= 57039.39877 ;
insert name= adelina ; CWID= 10000163 ; color= green ; age= 36 ; salary= 61575.81412 ;
insert name= adelind ; CWID= 10000164 ; color= blue ; age= 39 ; salary= 100703.787 ;
insert name= adeline ; CWID= 10000165 ; color= orange ; age= 27 ; salary= 82590.69784 ;
insert name= adella ; CWID= 10000166 ; color= yellow ; age= 37 ; salary= 72716.27094 ;
insert name= adelle ; CWID= 10000167 ; color= pink ; age= 47 ; salary= 64812.10578 ;
insert name= adena ; CWID= 10000168 ; color= purple ; age= 75 ; salary= 108522.1947 ;
insert name= adeney ; CWID= 10000169 ; color= crimson ; age= 60 ; salary= 95595.60034 ;
insert name= adeniyi ; CWID= 10000170 ; color= black ; age= 2 ; salary= 88999.70393 ;
insert name= aderhold ; CWID= 10000171 ; color= white ; age= 1 ; salary= 92661.52574 ;
insert name= adey ; CWID= 10000172 ; color= red ; age= 45 ; salary= 15558.92622 ;
insert name= adham ; CWID= 10000173 ; color= green ; age= 65 ; salary= 106565.9526 ;
insert name= adhem ; CWID= 10000174 ; color= blue ; age= 93 ; salary= 39038.37796 ;
insert name= adi ; CWID= 10000175 ; color= orange ; age= 71 ; salary= 34694.28654 ;
insert name= adiana ; CWID= 10000176 ; color= yellow ; age= 38 ; salary= 93981.05202 ;
insert name= adib ; CWID= 10000177 ; color= pink ; age= 72 ; salary= 94218.80789 ;
insert name= adie ; CWID= 10000178 ; color= purple ; age= 54 ; salary= 56282.21776 ;
insert name= adil ; CWID= 10000179 ; color= crimson ; age= 58 ; salary= 33909.38453 ;
insert name= adimari ; CWID= 10000180 ; color= black ; age= 47 ; salary= 26137.75061 ;
insert name= adina ; CWID= 10000181 ; color= white ; age= 53 ; salary= 95320.20796 ;
insert name= aditya ; CWID= 10000182 ; color= red ; age= 48 ; salary= 72829.60245 ;
insert name= adjangba ; CWID= 10000183 ; color= green ; age= 15 ; salary= 46320.78117 ;
insert name= adkinson ; CWID= 10000184 ; color= blue ; age= 9 ; salary= 38243.17146 ;
insert name= adlai ; CWID= 10000185 ; color= orange ; age= 17 ; salary= 88489.79242 ;
insert name= adler ; CWID= 10000186 ; color= yellow ; age= 19 ; salary= 39806.75077 ;
insert name= adlin ; CWID= 10000187 ; color= pink ; age= 89 ; salary= 72961.78078 ;
insert name= admad ; CWID= 10000188 ; color= purple ; age= 24 ; salary= 29172.48289 ;
insert name= admin ; CWID= 10000189 ; color= crimson ; age= 38 ; salary= 61301.04622 ;
insert name= admin-mt ; CWID= 10000190 ; color= black ; age= 86 ; salary= 99064.33479 ;
insert name= administ ; CWID= 10000191 ; color= white ; age= 52 ; salary= 75521.33229 ;
insert name= adnan ; CWID= 10000192 ; color= red ; age= 26 ; salary= 55694.57126 ;
insert name= adnane ; CWID= 10000193 ; color= green ; age= 56 ; salary= 77218.8999 ;
insert name= ado ; CWID= 10000194 ; color= blue ; age= 9 ; salary= 76248.98757 ;
insert name= adolf ; CWID= 10000195 ; color= orange ; age= 91 ; salary= 96929.87059 ;
insert name= adolfie ; CWID= 10000196 ; color= yellow ; age= 4 ; salary= 102689.716 ;
insert name= adolph ; CWID= 10000197 ; color= pink ; age= 12 ; salary= 106448.1626 ;
insert name= adolphe ; CWID= 10000198 ; color= purple ; age= 58 ; salary= 97626.90082 ;
insert name= adolpho ; CWID= 10000199 ; color= crimson ; age= 18 ; salary= 92305.507 ;
insert name= adolphus ; CWID= 10000200 ; color= black ; age= 77 ; salary= 46323.62759 ;
insert name= adora ; CWID= 10000201 ; color= white ; age= 67 ; salary= 37576.07544 ;
insert name= adore ; CWID= 10000202 ; color= red ; age= 38 ; salary= 82674.95086 ;
insert name= adoree ; CWID= 10000203 ; color= green ; age= 82 ; salary= 35340.01309 ;
insert name= adornato ; CWID= 10000204 ; color= blue ; age= 11 ; salary= 23335.75488 ;
insert name= adorne ; CWID= 10000205 ; color= orange ; age= 26 ; salary= 24957.74971 ;
insert name= adorno ; CWID= 10000206 ; color= yellow ; age= 64 ; salary= 70848.22076 ;
insert name= adrea ; CWID= 10000207 ; color= pink ; age= 2 ; salary= 33419.70997 ;
insert name= adri ; CWID= 10000208 ; color= purple ; age= 49 ; salary= 15793.17212 ;
insert name= adria ; CWID= 10000209 ; color= crimson ; age= 84 ; salary= 99000.80124 ;
insert name= adriaan ; CWID= 10000210 ; color= black ; age= 89 ; salary= 62666.40963 ;
insert name= adriaans ; CWID= 10000211 ; color= white ; age= 97 ; salary= 32244.67877 ;
insert name= adriaens ; CWID= 10000212 ; color= red ; age= 73 ; salary= 72003.54946 ;
insert name= adrian ; CWID= 10000213 ; color= green ; age= 87 ; salary= 27247.58893 ;
insert name= adriana ; CWID= 10000214 ; color= blue ; age= 99 ; salary= 104938.8178 ;
insert name= adriane ; CWID= 10000215 ; color= orange ; age= 54 ; salary= 79287.41866 ;
insert name= adrianna ; CWID= 10000216 ; color= yellow ; age= 84 ; salary= 56448.8166 ;
insert name= adrianne ; CWID= 10000217 ; color= pink ; age= 59 ; salary= 23873.2502 ;
insert name= adriano ; CWID= 10000218 ; color= purple ; age= 81 ; salary= 75962.78503 ;
insert name= adrie ; CWID= 10000219 ; color= crimson ; age= 70 ; salary= 87715.9812 ;
insert name= adrien ; CWID= 10000220 ; color= black ; age= 42 ; salary= 99816.11055 ;
insert name= adriena ; CWID= 10000221 ; color= white ; age= 97 ; salary= 84417.44675 ;
insert name= adriene ; CWID= 10000222 ; color= red ; age= 46 ; salary= 31634.89836 ;
insert name= adrienne ; CWID= 10000223 ; color= green ; age= 95 ; salary= 98738.98796 ;
insert name= adrion ; CWID= 10000224 ; color= blue ; age= 29 ; salary= 40623.71342 ;
insert name= advance ; CWID= 10000225 ; color= orange ; age= 25 ; salary= 16823.35573 ;
insert name= ae ; CWID= 10000226 ; color= yellow ; age= 41 ; salary= 89002.14602 ;
insert name= aeinstei ; CWID= 10000227 ; color= pink ; age= 46 ; salary= 56402.76944 ;
insert name= aeriel ; CWID= 10000228 ; color= purple ; age= 79 ; salary= 46946.90161 ;
insert name= aeriela ; CWID= 10000229 ; color= crimson ; age= 61 ; salary= 75679.43219 ;
insert name= aeriell ; CWID= 10000230 ; color= black ; age= 10 ; salary= 10967.95779 ;
insert name= aery ; CWID= 10000231 ; color= white ; age= 64 ; salary= 52600.16689 ;
insert name= afaq ; CWID= 10000232 ; color= red ; age= 72 ; salary= 61502.97294 ;
insert name= afif ; CWID= 10000233 ; color= green ; age= 84 ; salary= 43977.70688 ;
insert name= afke ; CWID= 10000234 ; color= blue ; age= 25 ; salary= 69308.91255 ;
insert name= afkham ; CWID= 10000235 ; color= orange ; age= 11 ; salary= 14293.21358 ;
insert name= afkham-e ; CWID= 10000236 ; color= yellow ; age= 59 ; salary= 82348.89627 ;
insert name= afo ; CWID= 10000237 ; color= pink ; age= 64 ; salary= 27530.10308 ;
insert name= afton ; CWID= 10000238 ; color= purple ; age= 45 ; salary= 23771.32909 ;
insert name= afzal ; CWID= 10000239 ; color= crimson ; age= 29 ; salary= 50927.35849 ;
insert name= ag ; CWID= 10000240 ; color= black ; age= 13 ; salary= 18912.81247 ;
insert name= agace ; CWID= 10000241 ; color= white ; age= 82 ; salary= 92967.68738 ;
insert name= agam ; CWID= 10000242 ; color= red ; age= 61 ; salary= 67516.00934 ;
insert name= agarwal ; CWID= 10000243 ; color= green ; age= 63 ; salary= 99020.29149 ;
insert name= agata ; CWID= 10000244 ; color= blue ; age= 75 ; salary= 71990.81099 ;
insert name= agatha ; CWID= 10000245 ; color= orange ; age= 26 ; salary= 47897.90597 ;
insert name= agathe ; CWID= 10000246 ; color= yellow ; age= 99 ; salary= 107939.9112 ;
insert name= agen ; CWID= 10000247 ; color= pink ; age= 70 ; salary= 60602.22005 ;
insert name= agenia ; CWID= 10000248 ; color= purple ; age= 90 ; salary= 11208.06761 ;
insert name= aggarwal ; CWID= 10000249 ; color= crimson ; age= 78 ; salary= 28479.70526 ;
insert name= aggi ; CWID= 10000250 ; color= black ; age= 24 ; salary= 29797.40496 ;
insert name= aggie ; CWID= 10000251 ; color= white ; age= 50 ; salary= 65722.59068 ;
insert name= aggregat ; CWID= 10000252 ; color= red ; age= 76 ; salary= 59221.27852 ;
insert name= aggy ; CWID= 10000253 ; color= green ; age= 7 ; salary= 19304.35469 ;
insert name= aghi ; CWID= 10000254 ; color= blue ; age= 67 ; salary= 55703.59701 ;
insert name= aghili ; CWID= 10000255 ; color= orange ; age= 85 ; salary= 88295.52571 ;
insert name= agily ; CWID= 10000256 ; color= yellow ; age= 98 ; salary= 35868.02126 ;
insert name= agna ; CWID= 10000257 ; color= pink ; age= 50 ; salary= 10786.0349 ;
insert name= agnar ; CWID= 10000258 ; color= purple ; age= 93 ; salary= 10861.60286 ;
insert name= agnella ; CWID= 10000259 ; color= crimson ; age= 94 ; salary= 91971.86478 ;
insert name= agnes ; CWID= 10000260 ; color= black ; age= 91 ; salary= 89962.34224 ;
insert name= agnese ; CWID= 10000261 ; color= white ; age= 74 ; salary= 71518.55588 ;
insert name= agnesse ; CWID= 10000262 ; color= red ; age= 19 ; salary= 101953.9038 ;
insert name= agneta ; CWID= 10000263 ; color= green ; age= 6 ; salary= 55792.12202 ;
insert name= agnew ; CWID= 10000264 ; color= blue ; age= 64 ; salary= 75439.83585 ;
insert name= agnihotr ; CWID= 10000265 ; color= orange ; age= 68 ; salary= 49596.63176 ;
insert name= agnola ; CWID= 10000266 ; color= yellow ; age= 67 ; salary= 78709.69328 ;
insert name= agostino ; CWID= 10000267 ; color= pink ; age= 83 ; salary= 84055.07161 ;
insert name= agosto ; CWID= 10000268 ; color= purple ; age= 44 ; salary= 99704.99009 ;
insert name= agretha ; CWID= 10000269 ; color= crimson ; age= 44 ; salary= 61132.78683 ;
insert name= aguiar ; CWID= 10000270 ; color= black ; age= 34 ; salary= 62381.52791 ;
insert name= aguie ; CWID= 10000271 ; color= white ; age= 45 ; salary= 46910.44091 ;
insert name= aguilar ; CWID= 10000272 ; color= red ; age= 7 ; salary= 39104.33645 ;
insert name= aguinsky ; CWID= 10000273 ; color= green ; age= 87 ; salary= 100768.5535 ;
insert name= aguirre ; CWID= 10000274 ; color= blue ; age= 81 ; salary= 31714.31733 ;
insert name= aguistin ; CWID= 10000275 ; color= orange ; age= 82 ; salary= 32824.94409 ;
insert name= aguste ; CWID= 10000276 ; color= yellow ; age= 63 ; salary= 29071.71307 ;
insert name= agustin ; CWID= 10000277 ; color= pink ; age= 60 ; salary= 57321.3736 ;
insert name= ahad ; CWID= 10000278 ; color= purple ; age= 35 ; salary= 82658.50121 ;
insert name= aharon ; CWID= 10000279 ; color= crimson ; age= 34 ; salary= 101732.4853 ;
insert name= ahbeng ; CWID= 10000280 ; color= black ; age= 75 ; salary= 33669.16133 ;
insert name= ahdieh ; CWID= 10000281 ; color= white ; age= 17 ; salary= 68297.5243 ;
insert name= ahlberg ; CWID= 10000282 ; color= red ; age= 5 ; salary= 102898.3376 ;
insert name= ahlers ; CWID= 10000283 ; color= green ; age= 94 ; salary= 76177.2586 ;
insert name= ahluwali ; CWID= 10000284 ; color= blue ; age= 49 ; salary= 54375.74831 ;
insert name= ahmad ; CWID= 10000285 ; color= orange ; age= 1 ; salary= 48955.44814 ;
insert name= ahmadi ; CWID= 10000286 ; color= yellow ; age= 16 ; salary= 45404.79317 ;
insert name= ahmed ; CWID= 10000287 ; color= pink ; age= 69 ; salary= 72769.38661 ;
insert name= ahmet ; CWID= 10000288 ; color= purple ; age= 5 ; salary= 69462.5538 ;
insert name= ahn ; CWID= 10000289 ; color= crimson ; age= 98 ; salary= 109385.977 ;
insert name= ai-mei ; CWID= 10000290 ; color= black ; age= 96 ; salary= 79767.05784 ;
insert name= ai-tsung ; CWID= 10000291 ; color= white ; age= 98 ; salary= 31898.257 ;
insert name= aida ; CWID= 10000292 ; color= red ; age= 12 ; salary= 21814.29455 ;
insert name= aidan ; CWID= 10000293 ; color= green ; age= 56 ; salary= 66260.18693 ;
insert name= aidarous ; CWID= 10000294 ; color= blue ; age= 11 ; salary= 49722.74469 ;
insert name= aideen ; CWID= 10000295 ; color= orange ; age= 58 ; salary= 84877.77859 ;
insert name= aiden ; CWID= 10000296 ; color= yellow ; age= 92 ; salary= 12726.59873 ;
insert name= aigneis ; CWID= 10000297 ; color= pink ; age= 51 ; salary= 33891.20576 ;
insert name= aihua ; CWID= 10000298 ; color= purple ; age= 31 ; salary= 20660.62002 ;
insert name= aija ; CWID= 10000299 ; color= crimson ; age= 1 ; salary= 27359.65854 ;
insert name= aiken ; CWID= 10000300 ; color= black ; age= 7 ; salary= 75709.18684 ;
insert name= aila ; CWID= 10000301 ; color= white ; age= 91 ; salary= 79980.08361 ;
